"","TimeStep","X10Trial_Prey","X10Trial_Predator","X20Trial_Prey","X20Trial_Predator","X30Trial_Prey","X30Trial_Predator","X40Trial_Prey","X40Trial_Predatory","X50Trial_Prey","X50Trial_Predator","X60Trial_Prey","X60Trial_Predator","X70Trial_Prey","X70Trial_Predator","X80Trial_Prey","X80Trial_Predator","X90Trial_Prey","X90Trial_Predator","X100Trial_Prey","X100Trial_Predator"
"22",22,114.38605280097,7.86573573481746,163.42598174791,14.3810661466763,163.371583099693,21.753129917589,138.154377443773,28.4591596107067,106.930715135797,33.5829876665168,79.3499507197775,37.0162377981463,58.0414787260249,39.1019008567566,42.4754837177378,40.2695835530701,31.3083145649509,40.8682599438573,23.2927162018297,41.1374220332141
"23",23,128.265958730351,8.3721794111579,172.60877956147,16.0122526929447,160.507466999533,24.2193166937194,126.467678146626,30.9679591087615,92.4063292871837,35.4948911707682,65.8475744125883,38.1026625533534,46.9544530039842,39.4163379606433,33.8658800560002,39.9665744159451,24.7748140974964,40.1043632847089,18.3692364752501,40.0387532282479
"24",24,143.180494288075,9.02743605943468,179.491981520173,17.9754954536565,153.735148649756,26.8957320340018,112.596754921704,33.3360070387481,78.0880691292328,37.0000992137686,53.9274102171091,38.7064973334855,37.8376177211592,39.2962936509733,27.1040239130042,39.3217489105675,19.7939954682245,39.0927232653506,14.6882705080614,38.7722968930594
"25",25,158.891065574251,9.86861701360679,183.125804846371,20.3031779787573,143.133984756794,29.685764794593,97.5808437599439,35.4227329014209,64.8130199031471,38.0393605582734,43.8394806628278,38.8585136265815,30.5363598951516,38.8183571054486,21.8670524678734,38.4214390878123,16.0147826903203,37.9118882892379,11.9309447598325,37.4031800333906
"26",26,174.98892795874,10.9432212359626,182.570607732655,23.0060548881185,129.270363652123,32.4505183604664,82.5312108638949,37.1081764211536,53.1211655541129,38.6028383633261,35.5720062282059,38.6191250019712,24.7899186430769,38.0628105732867,17.8388267172041,37.340530757846,13.146232705066,36.6234445271079,9.85458096359443,35.9792763065415
"27",27,190.837288025523,12.3110027266609,177.08243505464,26.0559815661672,113.175533290973,35.0228827516005,68.4116257067855,38.3153503330848,43.2391209893664,38.7233242127167,28.9488099228673,38.0619285069706,20.3121625973061,37.103244022061,14.7454794834685,36.1396154776714,10.9608760039348,35.2737326249669,8.27989024256984,34.5348731825888
"28",28,205.51076189832,14.0448509635586,166.358355430811,29.3672391513345,96.1733056211719,37.2354720468201,55.881796790029,39.0207982222419,35.1433201797985,38.461520502825,23.7200965709802,37.2606796152681,16.838123862131,36.0017289464216,12.3656157944978,34.8655306623543,9.28674110973964,33.8966770032168,7.07641869615478,33.0940744829522
"29",29,217.749234055291,16.22897643765,150.77517042938,32.7843628025271,79.597382414332,38.9547568775865,45.2526329796344,39.2503106279698,28.6553289194316,37.8901100073164,19.6258466974311,36.2814725532792,14.1437329220501,34.8078440703512,10.5274013869778,33.5533878858785,7.99619269359417,32.5166328168653,6.14982716135471,31.6735582862077
"30",30,225.960608978353,18.9513748045672,131.499525625559,36.0882125513704,64.5098920967726,40.1077157137498,36.5413605637196,39.0639749977555,23.5288590527869,37.0813580720037,16.4304698540402,35.179453543903,12.049351005226,33.559764716957,9.10058184269732,32.2289484737522,6.99533861480798,31.1508104377725,5.43192350317294,30.2846672809426
"31",31,228.330088855854,22.2860702561558,110.343602438875,39.0293847549815,51.5384263867068,40.6896743410043,29.5751247220124,38.5382270433128,19.5098103877233,36.0997722159656,13.9364143155012,33.9984958176425,10.415487358997,32.2861498658366,7.98767637834222,30.910803233354,6.21530166639044,29.8111803830218,4.87326824391628,28.9349379128846
